column_a,sdwarnings_df_country,sdwarnings_df_region,sdwarnings_df_nwarnings,percap
160,Pakistan,Asia,25,3.54
153,Nigeria,Africa,23,1.28
166,Philippines,Asia,20,2.28
93,Haiti,Americas,10,1.96
94,Honduras,Americas,9,1.66
